id,rating,status
26794701,0,wish
30465634,0,wish
27006232,0,wish
4849922,0,wish
1652592,0,wish
27060077,0,wish
26213252,0,wish
30316597,0,wish
1294194,0,wish
26656371,0,wish
1900841,0,wish
26663559,0,wish
26580232,0,wish
26276373,0,wish
24736837,0,wish
6722879,0,wish
1308817,0,wish
4319218,0,wish
6860160,0,wish
3034034,0,wish
3718778,0,wish
27053768,8,collect
30357990,10,collect
26838164,8,collect
27200836,10,collect
26794435,8,collect
26931786,8,collect
26346327,8,collect
10463953,10,collect
25864085,10,collect
30334073,8,collect
26835471,6,collect
26100958,10,collect
27135496,8,collect
23761370,8,collect
3878007,6,collect
6037429,10,collect
26374197,10,collect
26266893,6,collect
5964718,10,collect
30163509,6,collect
6803494,8,collect
26588308,8,collect
27198855,6,collect
3718279,8,collect
4920389,8,collect
27110296,6,collect
27140071,8,collect
26985127,6,collect
26425068,6,collect
26425063,8,collect
1296286,10,collect
1291560,10,collect
1291561,10,collect
10772258,8,collect
26787574,10,collect
25986180,10,collect
26387939,10,collect
5387041,8,collect
26325320,10,collect
26259677,8,collect
26614893,10,collect
25921812,8,collect
10533913,10,collect
24751756,8,collect
25964071,8,collect
26277313,6,collect
25752261,8,collect
3319755,10,collect
1292052,10,collect
3793783,8,collect
24405378,10,collect
4842877,8,collect
11525673,8,collect
25717233,6,collect
25661522,8,collect
1292286,8,collect
1929463,8,collect
10485647,10,collect
20257326,8,collect
1292720,10,collect
1858711,8,collect
1291574,8,collect
1291575,6,collect
1292000,10,collect
1966182,10,collect
6534248,10,collect
1851857,10,collect
4914468,6,collect
3178770,10,collect
5322596,10,collect
1866479,8,collect
2131459,10,collect
3075287,6,collect
3581476,10,collect
4206357,10,collect
6097775,8,collect
3338851,10,collect
