id,rating,status
26197294,10,do
5414391,0,do
26876440,8,do
30347299,0,wish
34399478,0,wish
26394018,0,wish
33436179,0,wish
33408126,0,wish
33396364,0,wish
30394978,0,wish
1051928,0,wish
2170030,0,wish
33446318,0,wish
33454375,0,wish
30201299,0,wish
1119839,0,wish
25848086,0,wish
1454393,0,wish
10794070,0,wish
1016429,0,wish
30292398,0,wish
22714154,0,wish
1008189,0,wish
6851644,0,wish
26963037,0,wish
4881998,0,wish
30443280,0,wish
4714878,0,wish
1465007,0,wish
1007347,0,wish
26378573,0,wish
3224929,0,wish
20441569,0,wish
14439405,0,wish
1144865,0,wish
1012307,0,wish
30177173,0,wish
26862434,0,wish
11542577,0,wish
26890706,0,wish
1849189,0,wish
26657570,0,wish
25977598,0,wish
3643270,0,wish
26642322,0,wish
3184954,0,wish
3182373,0,wish
26853835,0,wish
6523997,0,wish
4189598,0,wish
26985499,0,wish
27044783,0,wish
6152978,0,wish
26616456,0,wish
1070246,0,wish
1483021,0,wish
1148282,0,wish
1788421,0,wish
1979199,0,wish
3554091,0,wish
1076685,0,wish
25717097,0,wish
7067916,0,wish
19976381,0,wish
1491268,0,wish
1522839,0,wish
12011034,0,wish
26184242,0,wish
4926707,0,wish
25883305,0,wish
6508448,0,wish
24738302,0,wish
25763528,0,wish
24722744,0,wish
24872278,0,wish
1484262,0,wish
4934481,0,wish
1231910,0,wish
1784887,0,wish
5986493,0,wish
6872527,0,wish
19941764,0,wish
1509898,0,wish
2209702,0,wish
1465090,0,wish
7836044,0,wish
6860890,0,wish
7906768,0,wish
4140415,0,wish
1288909,0,wish
1792162,0,wish
30348068,10,collect
3673223,10,collect
26912298,8,collect
27170951,10,collect
10522003,8,collect
26879778,10,collect
30219713,10,collect
1795079,10,collect
6082808,10,collect
11445548,8,collect
4908885,10,collect
26425831,8,collect
30240074,6,collect
27139938,10,collect
27091742,8,collect
26869694,8,collect
3311253,10,collect
1052828,8,collect
26826879,10,collect
30121259,8,collect
2035171,10,collect
21363236,8,collect
6313496,10,collect
2256069,8,collect
1152912,10,collect
3071717,10,collect
20365734,6,collect
3239549,10,collect
5366248,8,collect
25902942,8,collect
10438832,8,collect
25801524,6,collect
26297606,6,collect
3734810,8,collect
20507206,8,collect
2130190,10,collect
6021440,10,collect
1139336,10,collect
1230413,0,collect
1059419,8,collect
4872222,8,collect
10594787,10,collect
2567698,8,collect
25735727,8,collect
23038663,6,collect
24375031,8,collect
1458981,10,collect
2165037,0,collect
22993873,8,collect
2035162,10,collect
6313524,10,collect
1858513,10,collect
10750155,8,collect
2090133,10,collect
1474824,10,collect
3757732,10,collect
3406401,10,collect
3016574,10,collect
1017143,10,collect
3833024,8,collect
1048109,10,collect
6798611,10,collect
